method,n,d_x,d_z,seed,status,time_sec,mem_mb,n_ci_tests,n_l0_calls,precision,recall_resolved,recall_overall,f1,accuracy,coverage,tp,fp,fn,tn,unresolved_frac,shd_full,shd_resolved,n_resolved,error_msg
cbl,1024,20,10,105,ok,360.437000000002,780,874000,78400,0.636986301369863,0.837837837837838,0.75609756097561,0.723735408560311,0.587209302325582,0.905263157894737,93,53,18,8,0.0947368421052632,66,65,188,
ascend,2048,5,10,101,ok,0.960999999999331,0,246,,0.5,0.4,0.4,0.444444444444444,0.5,1,2,2,3,3,0,5,5,10,
ascend,2048,5,10,102,ok,0.481999999999971,58,91,,1,1,1,1,1,1,3,0,0,7,0,0,0,10,
ascend,2048,5,10,103,ok,0.835999999999331,55,213,,1,0.666666666666667,0.666666666666667,0.8,0.8,1,4,0,2,4,0,4,4,10,
ascend,2048,5,10,104,ok,0.593000000000757,61,138,,0.833333333333333,1,1,0.909090909090909,0.9,1,5,1,0,4,0,1,1,10,
ascend,2048,5,10,105,ok,0.520000000000437,55,106,,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.6,1,4,2,2,2,0,4,4,10,
cbl,2048,5,10,101,ok,18.1909999999989,413,42400,4000,0,0,0,,0.375,0.8,0,2,3,3,0.2,2,2,10,
cbl,2048,5,10,102,ok,19.4120000000003,401,46600,4400,,0,0,,0.666666666666667,0.6,0,0,2,4,0.4,0,0,7,
cbl,2048,5,10,103,ok,18.6029999999992,102,46600,4400,,0,0,,0.5,0.8,0,0,4,4,0.2,3,1,8,
cbl,2048,5,10,104,ok,19.1319999999978,153,46600,4400,0,0,0,,0.571428571428571,0.7,0,1,2,4,0.3,2,1,9,
cbl,2048,5,10,105,ok,18.4290000000001,393,42000,4000,1,0.25,0.166666666666667,0.4,0.5,0.6,1,0,3,2,0.4,4,3,9,
ascend,4096,5,10,101,ok,0.826000000000931,0,159,,1,1,1,1,1,1,5,0,0,5,0,1,1,10,
ascend,4096,5,10,102,ok,0.452000000001135,49,66,,1,1,1,1,1,1,3,0,0,7,0,0,0,10,
ascend,4096,5,10,103,ok,1,58,186,,1,1,1,1,1,1,6,0,0,4,0,1,1,10,
ascend,4096,5,10,104,ok,0.755000000001019,67,134,,1,1,1,1,1,1,5,0,0,5,0,0,0,10,
ascend,4096,5,10,105,ok,1.20599999999831,52,246,,0.555555555555556,0.833333333333333,0.833333333333333,0.666666666666667,0.5,1,5,4,1,0,0,4,4,10,
cbl,4096,5,10,101,ok,21.3810000000012,231,47000,4400,,0,0,,0.8,0.5,0,0,1,4,0.5,1,1,10,
cbl,4096,5,10,102,ok,19.1440000000002,70,42000,4000,,0,0,,0.75,0.8,0,0,2,6,0.2,1,0,8,
cbl,4096,5,10,103,ok,20.5229999999974,185,42400,4000,,0,0,,0.375,0.8,0,0,5,3,0.2,0,0,9,
cbl,4096,5,10,104,ok,19.4030000000021,233,42400,4000,,0,0,,0.714285714285714,0.7,0,0,2,5,0.3,3,1,8,
cbl,4096,5,10,105,ok,27.1130000000012,86,56600,5200,,0,0,,0.333333333333333,0.6,0,0,4,2,0.4,2,2,10,
